,Location,Value,Parameter,Units,Datetime
0,"Số 46, phố Lưu Quang Vũ",829.0,co,µg/m³,2024-01-29T00:00:00+07:00
1,"Số 46, phố Lưu Quang Vũ",1020.0,co,µg/m³,2024-01-30T00:00:00+07:00
2,"Số 46, phố Lưu Quang Vũ",1260.0,co,µg/m³,2024-01-31T00:00:00+07:00
3,"Số 46, phố Lưu Quang Vũ",1930.0,co,µg/m³,2024-02-01T00:00:00+07:00
4,"Số 46, phố Lưu Quang Vũ",480.0,co,µg/m³,2024-02-02T00:00:00+07:00
5,"Số 46, phố Lưu Quang Vũ",482.0,co,µg/m³,2024-02-03T00:00:00+07:00
6,"Số 46, phố Lưu Quang Vũ",458.0,co,µg/m³,2024-02-04T00:00:00+07:00
7,"Số 46, phố Lưu Quang Vũ",509.0,co,µg/m³,2024-02-05T00:00:00+07:00
8,"Số 46, phố Lưu Quang Vũ",604.0,co,µg/m³,2024-02-06T00:00:00+07:00
9,"Số 46, phố Lưu Quang Vũ",619.0,co,µg/m³,2024-02-07T00:00:00+07:00
10,"Số 46, phố Lưu Quang Vũ",493.0,co,µg/m³,2024-02-08T00:00:00+07:00
11,"Số 46, phố Lưu Quang Vũ",376.0,co,µg/m³,2024-02-09T00:00:00+07:00
12,"Số 46, phố Lưu Quang Vũ",547.0,co,µg/m³,2024-02-10T00:00:00+07:00
13,"Số 46, phố Lưu Quang Vũ",519.0,co,µg/m³,2024-02-11T00:00:00+07:00
14,"Số 46, phố Lưu Quang Vũ",429.0,co,µg/m³,2024-02-12T00:00:00+07:00
15,"Số 46, phố Lưu Quang Vũ",323.0,co,µg/m³,2024-02-13T00:00:00+07:00
16,"Số 46, phố Lưu Quang Vũ",329.0,co,µg/m³,2024-02-14T00:00:00+07:00
17,"Số 46, phố Lưu Quang Vũ",545.0,co,µg/m³,2024-02-15T00:00:00+07:00
18,"Số 46, phố Lưu Quang Vũ",589.0,co,µg/m³,2024-02-16T00:00:00+07:00
19,"Số 46, phố Lưu Quang Vũ",296.0,co,µg/m³,2024-02-17T00:00:00+07:00
20,"Số 46, phố Lưu Quang Vũ",319.0,co,µg/m³,2024-02-18T00:00:00+07:00
21,"Số 46, phố Lưu Quang Vũ",450.0,co,µg/m³,2024-02-19T00:00:00+07:00
22,"Số 46, phố Lưu Quang Vũ",576.0,co,µg/m³,2024-02-20T00:00:00+07:00
23,"Số 46, phố Lưu Quang Vũ",643.0,co,µg/m³,2024-02-21T00:00:00+07:00
24,"Số 46, phố Lưu Quang Vũ",688.0,co,µg/m³,2024-02-22T00:00:00+07:00
25,"Số 46, phố Lưu Quang Vũ",913.0,co,µg/m³,2024-02-23T00:00:00+07:00
26,"Số 46, phố Lưu Quang Vũ",597.0,co,µg/m³,2024-02-24T00:00:00+07:00
27,"Số 46, phố Lưu Quang Vũ",690.0,co,µg/m³,2024-02-25T00:00:00+07:00
28,"Số 46, phố Lưu Quang Vũ",862.0,co,µg/m³,2024-02-26T00:00:00+07:00
29,"Số 46, phố Lưu Quang Vũ",704.0,co,µg/m³,2024-02-27T00:00:00+07:00
30,"Số 46, phố Lưu Quang Vũ",870.0,co,µg/m³,2024-02-28T00:00:00+07:00
31,"Số 46, phố Lưu Quang Vũ",807.0,co,µg/m³,2024-02-29T00:00:00+07:00
32,"Số 46, phố Lưu Quang Vũ",874.0,co,µg/m³,2024-03-01T00:00:00+07:00
33,"Số 46, phố Lưu Quang Vũ",761.0,co,µg/m³,2024-03-02T00:00:00+07:00
34,"Số 46, phố Lưu Quang Vũ",920.0,co,µg/m³,2024-03-03T00:00:00+07:00
35,"Số 46, phố Lưu Quang Vũ",1920.0,co,µg/m³,2024-03-04T00:00:00+07:00
36,"Số 46, phố Lưu Quang Vũ",3650.0,co,µg/m³,2024-03-05T00:00:00+07:00
37,"Số 46, phố Lưu Quang Vũ",2130.0,co,µg/m³,2024-03-06T00:00:00+07:00
38,"Số 46, phố Lưu Quang Vũ",1530.0,co,µg/m³,2024-03-07T00:00:00+07:00
39,"Số 46, phố Lưu Quang Vũ",1440.0,co,µg/m³,2024-03-08T00:00:00+07:00
40,"Số 46, phố Lưu Quang Vũ",1200.0,co,µg/m³,2024-03-09T00:00:00+07:00
41,"Số 46, phố Lưu Quang Vũ",1120.0,co,µg/m³,2024-03-10T00:00:00+07:00
42,"Số 46, phố Lưu Quang Vũ",1750.0,co,µg/m³,2024-03-11T00:00:00+07:00
43,"Số 46, phố Lưu Quang Vũ",3200.0,co,µg/m³,2024-03-12T00:00:00+07:00
44,"Số 46, phố Lưu Quang Vũ",1180.0,co,µg/m³,2024-03-15T00:00:00+07:00
45,"Số 46, phố Lưu Quang Vũ",712.0,co,µg/m³,2024-03-16T00:00:00+07:00
46,"Số 46, phố Lưu Quang Vũ",633.0,co,µg/m³,2024-03-17T00:00:00+07:00
47,"Số 46, phố Lưu Quang Vũ",771.0,co,µg/m³,2024-03-18T00:00:00+07:00
48,"Số 46, phố Lưu Quang Vũ",796.0,co,µg/m³,2024-03-19T00:00:00+07:00
49,"Số 46, phố Lưu Quang Vũ",976.0,co,µg/m³,2024-03-20T00:00:00+07:00
50,"Số 46, phố Lưu Quang Vũ",713.0,co,µg/m³,2024-03-21T00:00:00+07:00
51,"Số 46, phố Lưu Quang Vũ",1090.0,co,µg/m³,2024-03-22T00:00:00+07:00
52,"Số 46, phố Lưu Quang Vũ",873.0,co,µg/m³,2024-03-23T00:00:00+07:00
53,"Số 46, phố Lưu Quang Vũ",861.0,co,µg/m³,2024-03-24T00:00:00+07:00
54,"Số 46, phố Lưu Quang Vũ",732.0,co,µg/m³,2024-03-25T00:00:00+07:00
55,"Số 46, phố Lưu Quang Vũ",745.0,co,µg/m³,2024-03-26T00:00:00+07:00
56,"Số 46, phố Lưu Quang Vũ",766.0,co,µg/m³,2024-03-27T00:00:00+07:00
57,"Số 46, phố Lưu Quang Vũ",896.0,co,µg/m³,2024-03-28T00:00:00+07:00
58,"Số 46, phố Lưu Quang Vũ",1200.0,co,µg/m³,2024-03-29T00:00:00+07:00
59,"Số 46, phố Lưu Quang Vũ",880.0,co,µg/m³,2024-03-30T00:00:00+07:00
60,"Số 46, phố Lưu Quang Vũ",848.0,co,µg/m³,2024-03-31T00:00:00+07:00
61,"Số 46, phố Lưu Quang Vũ",978.0,co,µg/m³,2024-04-01T00:00:00+07:00
62,"Số 46, phố Lưu Quang Vũ",845.0,co,µg/m³,2024-04-02T00:00:00+07:00
63,"Số 46, phố Lưu Quang Vũ",774.0,co,µg/m³,2024-04-03T00:00:00+07:00
64,"Số 46, phố Lưu Quang Vũ",659.0,co,µg/m³,2024-04-04T00:00:00+07:00
65,"Số 46, phố Lưu Quang Vũ",501.0,co,µg/m³,2024-04-05T00:00:00+07:00
66,"Số 46, phố Lưu Quang Vũ",544.0,co,µg/m³,2024-04-06T00:00:00+07:00
67,"Số 46, phố Lưu Quang Vũ",621.0,co,µg/m³,2024-04-07T00:00:00+07:00
68,"Số 46, phố Lưu Quang Vũ",1240.0,co,µg/m³,2024-04-08T00:00:00+07:00
69,"Số 46, phố Lưu Quang Vũ",1290.0,co,µg/m³,2024-04-09T00:00:00+07:00
70,"Số 46, phố Lưu Quang Vũ",1360.0,co,µg/m³,2024-04-10T00:00:00+07:00
71,"Số 46, phố Lưu Quang Vũ",1080.0,co,µg/m³,2024-04-11T00:00:00+07:00
72,"Số 46, phố Lưu Quang Vũ",820.0,co,µg/m³,2024-04-12T00:00:00+07:00
73,"Số 46, phố Lưu Quang Vũ",650.0,co,µg/m³,2024-04-13T00:00:00+07:00
74,"Số 46, phố Lưu Quang Vũ",587.0,co,µg/m³,2024-04-14T00:00:00+07:00
75,"Số 46, phố Lưu Quang Vũ",612.0,co,µg/m³,2024-04-15T00:00:00+07:00
76,"Số 46, phố Lưu Quang Vũ",564.0,co,µg/m³,2024-04-16T00:00:00+07:00
77,"Số 46, phố Lưu Quang Vũ",628.0,co,µg/m³,2024-04-17T00:00:00+07:00
78,"Số 46, phố Lưu Quang Vũ",699.0,co,µg/m³,2024-04-18T00:00:00+07:00
79,"Số 46, phố Lưu Quang Vũ",674.0,co,µg/m³,2024-04-19T00:00:00+07:00
80,"Số 46, phố Lưu Quang Vũ",853.0,co,µg/m³,2024-04-20T00:00:00+07:00
81,"Số 46, phố Lưu Quang Vũ",1500.0,co,µg/m³,2024-04-26T00:00:00+07:00
82,"Số 46, phố Lưu Quang Vũ",1230.0,co,µg/m³,2024-04-27T00:00:00+07:00
83,"Số 46, phố Lưu Quang Vũ",794.0,co,µg/m³,2024-04-28T00:00:00+07:00
84,"Số 46, phố Lưu Quang Vũ",716.0,co,µg/m³,2024-04-29T00:00:00+07:00
85,"Số 46, phố Lưu Quang Vũ",1010.0,co,µg/m³,2024-04-30T00:00:00+07:00
86,"Số 46, phố Lưu Quang Vũ",958.0,co,µg/m³,2024-05-01T00:00:00+07:00
87,"Số 46, phố Lưu Quang Vũ",1230.0,co,µg/m³,2024-05-02T00:00:00+07:00
88,"Số 46, phố Lưu Quang Vũ",1290.0,co,µg/m³,2024-05-03T00:00:00+07:00
89,"Số 46, phố Lưu Quang Vũ",869.0,co,µg/m³,2024-05-04T00:00:00+07:00
90,"Số 46, phố Lưu Quang Vũ",873.0,co,µg/m³,2024-05-05T00:00:00+07:00
91,"Số 46, phố Lưu Quang Vũ",1100.0,co,µg/m³,2024-05-06T00:00:00+07:00
92,"Số 46, phố Lưu Quang Vũ",1700.0,co,µg/m³,2024-05-07T00:00:00+07:00
93,"Số 46, phố Lưu Quang Vũ",826.0,co,µg/m³,2024-05-08T00:00:00+07:00
94,"Số 46, phố Lưu Quang Vũ",940.0,co,µg/m³,2024-05-09T00:00:00+07:00
95,"Số 46, phố Lưu Quang Vũ",656.0,co,µg/m³,2024-05-10T00:00:00+07:00
96,"Số 46, phố Lưu Quang Vũ",654.0,co,µg/m³,2024-05-11T00:00:00+07:00
97,"Số 46, phố Lưu Quang Vũ",587.0,co,µg/m³,2024-05-12T00:00:00+07:00
98,"Số 46, phố Lưu Quang Vũ",822.0,co,µg/m³,2024-05-13T00:00:00+07:00
99,"Số 46, phố Lưu Quang Vũ",965.0,co,µg/m³,2024-05-14T00:00:00+07:00
100,"Số 46, phố Lưu Quang Vũ",882.0,co,µg/m³,2024-05-15T00:00:00+07:00
101,"Số 46, phố Lưu Quang Vũ",1030.0,co,µg/m³,2024-05-16T00:00:00+07:00
102,"Số 46, phố Lưu Quang Vũ",780.0,co,µg/m³,2024-05-17T00:00:00+07:00
103,"Số 46, phố Lưu Quang Vũ",634.0,co,µg/m³,2024-05-18T00:00:00+07:00
104,"Số 46, phố Lưu Quang Vũ",941.0,co,µg/m³,2024-05-19T00:00:00+07:00
105,"Số 46, phố Lưu Quang Vũ",972.0,co,µg/m³,2024-05-20T00:00:00+07:00
106,"Số 46, phố Lưu Quang Vũ",1180.0,co,µg/m³,2024-05-21T00:00:00+07:00
107,"Số 46, phố Lưu Quang Vũ",855.0,co,µg/m³,2024-05-22T00:00:00+07:00
108,"Số 46, phố Lưu Quang Vũ",1190.0,co,µg/m³,2024-05-23T00:00:00+07:00
109,"Số 46, phố Lưu Quang Vũ",888.0,co,µg/m³,2024-05-24T00:00:00+07:00
110,"Số 46, phố Lưu Quang Vũ",708.0,co,µg/m³,2024-05-25T00:00:00+07:00
111,"Số 46, phố Lưu Quang Vũ",545.0,co,µg/m³,2024-05-26T00:00:00+07:00
112,"Số 46, phố Lưu Quang Vũ",641.0,co,µg/m³,2024-06-02T00:00:00+07:00
113,"Số 46, phố Lưu Quang Vũ",719.0,co,µg/m³,2024-06-03T00:00:00+07:00
114,"Số 46, phố Lưu Quang Vũ",964.0,co,µg/m³,2024-06-04T00:00:00+07:00
115,"Số 46, phố Lưu Quang Vũ",1160.0,co,µg/m³,2024-06-05T00:00:00+07:00
116,"Số 46, phố Lưu Quang Vũ",1170.0,co,µg/m³,2024-06-06T00:00:00+07:00
117,"Số 46, phố Lưu Quang Vũ",1370.0,co,µg/m³,2024-06-07T00:00:00+07:00
118,"Số 46, phố Lưu Quang Vũ",909.0,co,µg/m³,2024-06-08T00:00:00+07:00
119,"Số 46, phố Lưu Quang Vũ",1130.0,co,µg/m³,2024-06-09T00:00:00+07:00
120,"Số 46, phố Lưu Quang Vũ",1090.0,co,µg/m³,2024-06-10T00:00:00+07:00
121,"Số 46, phố Lưu Quang Vũ",940.0,co,µg/m³,2024-06-11T00:00:00+07:00
122,"Số 46, phố Lưu Quang Vũ",964.0,co,µg/m³,2024-06-12T00:00:00+07:00
123,"Số 46, phố Lưu Quang Vũ",959.0,co,µg/m³,2024-06-13T00:00:00+07:00
124,"Số 46, phố Lưu Quang Vũ",918.0,co,µg/m³,2024-06-14T00:00:00+07:00
125,"Số 46, phố Lưu Quang Vũ",1170.0,co,µg/m³,2024-06-15T00:00:00+07:00
126,"Số 46, phố Lưu Quang Vũ",658.0,co,µg/m³,2024-06-16T00:00:00+07:00
127,"Số 46, phố Lưu Quang Vũ",878.0,co,µg/m³,2024-06-17T00:00:00+07:00
128,"Số 46, phố Lưu Quang Vũ",1070.0,co,µg/m³,2024-06-18T00:00:00+07:00
129,"Số 46, phố Lưu Quang Vũ",795.0,co,µg/m³,2024-06-19T00:00:00+07:00
130,"Số 46, phố Lưu Quang Vũ",932.0,co,µg/m³,2024-06-20T00:00:00+07:00
131,"Số 46, phố Lưu Quang Vũ",933.0,co,µg/m³,2024-06-21T00:00:00+07:00
132,"Số 46, phố Lưu Quang Vũ",538.0,co,µg/m³,2024-06-22T00:00:00+07:00
133,"Số 46, phố Lưu Quang Vũ",720.0,co,µg/m³,2024-06-23T00:00:00+07:00
134,"Số 46, phố Lưu Quang Vũ",610.0,co,µg/m³,2024-06-24T00:00:00+07:00
135,"Số 46, phố Lưu Quang Vũ",1030.0,co,µg/m³,2024-06-25T00:00:00+07:00
136,"Số 46, phố Lưu Quang Vũ",672.0,co,µg/m³,2024-06-26T00:00:00+07:00
137,"Số 46, phố Lưu Quang Vũ",598.0,co,µg/m³,2024-06-27T00:00:00+07:00
