ds,y
2024-01-29 15:00:00+00:00,909.0
2024-01-29 16:00:00+00:00,748.2
2024-01-29 17:00:00+00:00,748.1
2024-01-29 18:00:00+00:00,639.5
2024-01-29 19:00:00+00:00,638.1
2024-01-29 20:00:00+00:00,502.7
2024-01-29 21:00:00+00:00,513.5
2024-01-29 22:00:00+00:00,424.1
2024-01-29 23:00:00+00:00,513.7
2024-01-30 00:00:00+00:00,644.1
2024-01-30 01:00:00+00:00,983.1
2024-01-30 02:00:00+00:00,973.7
2024-01-30 03:00:00+00:00,1041.7
2024-01-30 04:00:00+00:00,919.5
2024-01-30 05:00:00+00:00,960.4
2024-01-30 06:00:00+00:00,915.3
2024-01-30 07:00:00+00:00,1041.8
2024-01-30 08:00:00+00:00,1083.1
2024-01-30 09:00:00+00:00,1317.4
2024-01-30 10:00:00+00:00,1484.1
2024-01-30 11:00:00+00:00,1689.6
2024-01-30 12:00:00+00:00,1607.4
2024-01-30 13:00:00+00:00,1658.4
2024-01-30 14:00:00+00:00,1532.9
2024-01-30 15:00:00+00:00,1444.0
2024-01-30 16:00:00+00:00,1314.8
2024-01-30 17:00:00+00:00,1241.2
2024-01-30 18:00:00+00:00,1034.3
2024-01-30 19:00:00+00:00,902.3
2024-01-30 20:00:00+00:00,764.3
2024-01-30 21:00:00+00:00,734.6
2024-01-30 22:00:00+00:00,600.7
2024-01-30 23:00:00+00:00,619.4
2024-01-31 00:00:00+00:00,683.9
2024-01-31 01:00:00+00:00,910.2
2024-01-31 02:00:00+00:00,830.6
2024-01-31 03:00:00+00:00,818.2
2024-01-31 04:00:00+00:00,725.1
2024-01-31 05:00:00+00:00,777.2
2024-01-31 06:00:00+00:00,781.7
2024-01-31 07:00:00+00:00,899.1
2024-01-31 08:00:00+00:00,1058.7
2024-01-31 09:00:00+00:00,1466.0
2024-01-31 10:00:00+00:00,1493.5
2024-01-31 11:00:00+00:00,1864.2
2024-01-31 12:00:00+00:00,2017.0
2024-01-31 13:00:00+00:00,2160.6
2024-01-31 14:00:00+00:00,2293.6
2024-01-31 15:00:00+00:00,2725.5
2024-01-31 16:00:00+00:00,2904.4
2024-01-31 17:00:00+00:00,2860.8
2024-01-31 18:00:00+00:00,2437.8
2024-01-31 19:00:00+00:00,1896.4
2024-01-31 20:00:00+00:00,1677.3
2024-01-31 21:00:00+00:00,1495.7
2024-01-31 22:00:00+00:00,1212.4
2024-02-02 15:00:00+00:00,462.7
2024-02-02 16:00:00+00:00,497.7
2024-02-02 17:00:00+00:00,561.5
2024-02-02 18:00:00+00:00,490.0
2024-02-02 19:00:00+00:00,373.0
2024-02-02 20:00:00+00:00,316.0
2024-02-02 21:00:00+00:00,298.2
2024-02-02 22:00:00+00:00,306.2
2024-02-02 23:00:00+00:00,352.7
2024-02-03 00:00:00+00:00,415.5
2024-02-03 01:00:00+00:00,533.3
2024-02-03 02:00:00+00:00,545.1
2024-02-03 03:00:00+00:00,597.8
2024-02-03 04:00:00+00:00,540.5
2024-02-03 05:00:00+00:00,557.4
2024-02-03 06:00:00+00:00,547.5
2024-02-03 07:00:00+00:00,534.0
2024-02-03 08:00:00+00:00,466.7
2024-02-03 09:00:00+00:00,525.1
2024-02-03 10:00:00+00:00,538.9
2024-02-03 11:00:00+00:00,557.9
2024-02-03 12:00:00+00:00,533.9
2024-02-03 13:00:00+00:00,502.7
2024-02-03 14:00:00+00:00,546.3
2024-02-03 15:00:00+00:00,511.4
2024-02-03 16:00:00+00:00,413.0
2024-02-03 17:00:00+00:00,352.0
2024-02-03 18:00:00+00:00,305.9
2024-02-03 19:00:00+00:00,272.4
2024-02-03 20:00:00+00:00,247.9
2024-02-03 21:00:00+00:00,257.3
2024-02-03 22:00:00+00:00,293.8
2024-02-03 23:00:00+00:00,378.6
2024-02-04 00:00:00+00:00,460.9
2024-02-04 01:00:00+00:00,570.2
2024-02-04 02:00:00+00:00,745.5
2024-02-04 03:00:00+00:00,674.5
2024-02-04 04:00:00+00:00,639.4
2024-02-04 05:00:00+00:00,566.7
2024-02-04 06:00:00+00:00,475.8
2024-02-04 07:00:00+00:00,469.0
