ds,y
2024-02-19 02:00:00+00:00,3.8
2024-02-19 03:00:00+00:00,3.75
2024-02-19 04:00:00+00:00,3.79
2024-02-19 05:00:00+00:00,3.67
2024-02-19 06:00:00+00:00,3.72
2024-02-19 07:00:00+00:00,3.77
2024-02-19 09:00:00+00:00,1.29
2024-02-19 10:00:00+00:00,1.54
2024-02-19 11:00:00+00:00,1.51
2024-02-19 12:00:00+00:00,1.54
2024-02-19 13:00:00+00:00,1.38
2024-02-19 14:00:00+00:00,1.48
2024-02-19 15:00:00+00:00,1.47
2024-02-19 16:00:00+00:00,1.49
2024-02-19 17:00:00+00:00,1.54
2024-02-19 18:00:00+00:00,1.4
2024-02-19 19:00:00+00:00,1.42
2024-02-19 20:00:00+00:00,1.58
2024-02-19 21:00:00+00:00,1.52
2024-02-19 22:00:00+00:00,1.49
2024-02-19 23:00:00+00:00,1.73
2024-02-20 00:00:00+00:00,1.7
2024-02-20 01:00:00+00:00,1.7
2024-02-20 02:00:00+00:00,1.65
2024-02-20 03:00:00+00:00,1.77
2024-02-20 04:00:00+00:00,1.71
2024-02-20 05:00:00+00:00,1.63
2024-02-20 06:00:00+00:00,1.65
2024-02-20 07:00:00+00:00,1.56
2024-02-20 08:00:00+00:00,1.5
2024-02-20 09:00:00+00:00,1.51
2024-02-20 10:00:00+00:00,1.6
2024-02-20 11:00:00+00:00,1.56
2024-02-20 12:00:00+00:00,1.52
2024-02-20 13:00:00+00:00,1.58
2024-02-20 14:00:00+00:00,1.49
2024-02-20 15:00:00+00:00,1.58
2024-02-20 16:00:00+00:00,1.48
2024-02-20 17:00:00+00:00,1.51
2024-02-20 18:00:00+00:00,1.44
2024-02-20 19:00:00+00:00,1.6
2024-02-20 20:00:00+00:00,1.55
2024-02-20 21:00:00+00:00,1.65
2024-02-20 22:00:00+00:00,1.56
2024-02-20 23:00:00+00:00,1.68
2024-02-21 00:00:00+00:00,1.71
2024-02-21 01:00:00+00:00,1.85
2024-02-21 02:00:00+00:00,1.86
2024-02-21 03:00:00+00:00,1.85
2024-02-21 04:00:00+00:00,1.73
2024-02-21 05:00:00+00:00,1.82
2024-02-21 06:00:00+00:00,1.72
2024-02-21 07:00:00+00:00,1.59
2024-02-21 08:00:00+00:00,1.5
2024-02-21 09:00:00+00:00,1.69
2024-02-21 10:00:00+00:00,1.58
2024-02-21 11:00:00+00:00,1.62
2024-02-21 12:00:00+00:00,1.46
2024-02-21 13:00:00+00:00,1.49
2024-02-21 14:00:00+00:00,1.41
2024-02-21 15:00:00+00:00,1.4
2024-02-21 16:00:00+00:00,1.38
2024-02-21 17:00:00+00:00,1.34
2024-02-21 18:00:00+00:00,1.28
2024-02-21 19:00:00+00:00,1.34
2024-02-21 20:00:00+00:00,1.31
2024-02-21 21:00:00+00:00,1.48
2024-02-21 22:00:00+00:00,1.45
2024-02-21 23:00:00+00:00,1.6
2024-02-22 00:00:00+00:00,1.55
2024-02-22 01:00:00+00:00,1.57
2024-02-22 02:00:00+00:00,1.5
2024-02-22 03:00:00+00:00,1.58
2024-02-22 04:00:00+00:00,1.5
2024-02-22 05:00:00+00:00,1.56
2024-02-22 06:00:00+00:00,1.57
2024-02-22 07:00:00+00:00,1.69
2024-02-22 08:00:00+00:00,1.59
2024-02-22 09:00:00+00:00,1.78
2024-02-22 10:00:00+00:00,1.73
