ds,y
2024-01-29 15:00:00+00:00,75.05
2024-01-29 16:00:00+00:00,77.68
2024-01-29 17:00:00+00:00,65.05
2024-01-29 18:00:00+00:00,78.5
2024-01-29 19:00:00+00:00,71.32
2024-01-29 20:00:00+00:00,64.6
2024-01-29 21:00:00+00:00,66.1
2024-01-29 22:00:00+00:00,70.25
2024-01-29 23:00:00+00:00,65.99
2024-01-30 00:00:00+00:00,54.91
2024-01-30 01:00:00+00:00,59.69
2024-01-30 02:00:00+00:00,64.39
2024-01-30 03:00:00+00:00,64.48
2024-01-30 04:00:00+00:00,68.41
2024-01-30 05:00:00+00:00,71.47
2024-01-30 06:00:00+00:00,75.36
2024-01-30 07:00:00+00:00,78.88
2024-01-30 08:00:00+00:00,76.39
2024-01-30 09:00:00+00:00,79.75
2024-01-30 10:00:00+00:00,82.75
2024-01-30 11:00:00+00:00,76.27
2024-01-30 12:00:00+00:00,98.13
2024-01-30 13:00:00+00:00,99.19
2024-01-30 14:00:00+00:00,108.11
2024-01-30 15:00:00+00:00,93.45
2024-01-30 16:00:00+00:00,94.49
2024-01-30 17:00:00+00:00,89.46
2024-01-30 18:00:00+00:00,82.67
2024-01-30 19:00:00+00:00,78.01
2024-01-30 20:00:00+00:00,70.2
2024-01-30 21:00:00+00:00,63.59
2024-01-30 22:00:00+00:00,60.21
2024-01-30 23:00:00+00:00,56.46
2024-01-31 00:00:00+00:00,47.66
2024-01-31 01:00:00+00:00,35.13
2024-01-31 02:00:00+00:00,41.76
2024-01-31 03:00:00+00:00,36.36
2024-01-31 04:00:00+00:00,49.86
2024-01-31 05:00:00+00:00,49.05
2024-01-31 06:00:00+00:00,62.27
2024-01-31 07:00:00+00:00,55.77
2024-01-31 08:00:00+00:00,66.15
2024-01-31 09:00:00+00:00,68.88
2024-01-31 10:00:00+00:00,92.71
2024-01-31 11:00:00+00:00,89.79
2024-01-31 12:00:00+00:00,110.65
2024-01-31 13:00:00+00:00,113.54
2024-01-31 14:00:00+00:00,132.27
2024-01-31 15:00:00+00:00,133.62
2024-01-31 16:00:00+00:00,141.72
2024-01-31 17:00:00+00:00,134.18
2024-01-31 18:00:00+00:00,135.8
2024-01-31 19:00:00+00:00,115.36
